episode,batch_episode_steps,epsilon,intrinsic_weight
307,84,0.214628,1.000000
308,78,0.213555,1.000000
309,91,0.212487,1.000000
310,102,0.211424,1.000000
311,82,0.210367,1.000000
312,84,0.209315,1.000000
313,143,0.208269,1.000000
314,78,0.207227,1.000000
315,96,0.206191,1.000000
316,82,0.205160,1.000000
317,81,0.204135,1.000000
318,88,0.203114,1.000000
319,88,0.202098,1.000000
320,85,0.201088,1.000000
321,121,0.200082,1.000000
322,82,0.199082,1.000000
323,84,0.198087,1.000000
324,150,0.197096,1.000000
325,82,0.196111,1.000000
326,87,0.195130,1.000000
327,88,0.194154,1.000000
328,90,0.193184,1.000000
329,82,0.192218,1.000000
330,84,0.191257,1.000000
331,76,0.190300,1.000000
332,85,0.189349,1.000000
333,88,0.188402,1.000000
334,84,0.187460,1.000000
335,103,0.186523,1.000000
336,90,0.185590,1.000000
337,88,0.184662,1.000000
338,86,0.183739,1.000000
339,88,0.182820,1.000000
340,82,0.181906,1.000000
341,86,0.180997,1.000000
342,86,0.180092,1.000000
343,82,0.179191,1.000000
344,86,0.178295,1.000000
345,88,0.177404,1.000000
346,82,0.176517,1.000000
347,88,0.175634,1.000000
348,110,0.174756,1.000000
349,84,0.173882,1.000000
350,88,0.173013,1.000000
351,90,0.172148,1.000000
352,86,0.171287,1.000000
353,84,0.170431,1.000000
354,82,0.169578,1.000000
355,84,0.168731,1.000000
356,88,0.167887,1.000000
357,86,0.167047,1.000000
358,84,0.166212,1.000000
359,90,0.165381,1.000000
360,88,0.164554,1.000000
361,86,0.163731,1.000000
362,102,0.162913,1.000000
363,90,0.162098,1.000000
364,90,0.161288,1.000000
365,86,0.160481,1.000000
366,86,0.159679,1.000000
367,88,0.158881,1.000000
368,88,0.158086,1.000000
369,90,0.157296,1.000000
370,92,0.156509,1.000000
371,88,0.155727,1.000000
372,126,0.154948,1.000000
373,90,0.154173,1.000000
374,89,0.153402,1.000000
375,96,0.152635,1.000000
376,80,0.151872,1.000000
377,90,0.151113,1.000000
378,87,0.150357,1.000000
379,87,0.149606,1.000000
380,88,0.148857,1.000000
381,126,0.148113,1.000000
382,93,0.147373,1.000000
383,90,0.146636,1.000000
384,88,0.145903,1.000000
385,86,0.145173,1.000000
386,86,0.144447,1.000000
387,83,0.143725,1.000000
388,90,0.143006,1.000000
389,92,0.142291,1.000000
