episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
307,82,0.214628,1.000000,656,177824
308,88,0.213555,1.000000,704,178528
309,107,0.212487,1.000000,856,179384
310,127,0.211424,1.000000,1016,180400
311,125,0.210367,1.000000,1000,181400
312,133,0.209315,1.000000,1064,182464
313,98,0.208269,1.000000,784,183248
314,151,0.207227,1.000000,1208,184456
315,95,0.206191,1.000000,760,185216
316,98,0.205160,1.000000,784,186000
317,82,0.204135,1.000000,656,186656
318,84,0.203114,1.000000,672,187328
319,96,0.202098,1.000000,768,188096
320,79,0.201088,1.000000,632,188728
321,86,0.200082,1.000000,688,189416
322,86,0.199082,1.000000,688,190104
323,89,0.198087,1.000000,712,190816
324,154,0.197096,1.000000,1232,192048
325,127,0.196111,1.000000,1016,193064
326,146,0.195130,1.000000,1168,194232
327,129,0.194154,1.000000,1032,195264
328,110,0.193184,1.000000,880,196144
329,84,0.192218,1.000000,672,196816
330,84,0.191257,1.000000,672,197488
331,88,0.190300,1.000000,704,198192
332,152,0.189349,1.000000,1216,199408
333,108,0.188402,1.000000,864,200272
334,103,0.187460,1.000000,824,201096
335,129,0.186523,1.000000,1032,202128
336,106,0.185590,1.000000,848,202976
337,118,0.184662,1.000000,944,203920
338,82,0.183739,1.000000,656,204576
339,84,0.182820,1.000000,672,205248
340,93,0.181906,1.000000,744,205992
341,84,0.180997,1.000000,672,206664
342,86,0.180092,1.000000,688,207352
343,85,0.179191,1.000000,680,208032
344,137,0.178295,1.000000,1096,209128
345,84,0.177404,1.000000,672,209800
346,147,0.176517,1.000000,1176,210976
347,138,0.175634,1.000000,1104,212080
348,109,0.174756,1.000000,872,212952
349,86,0.173882,1.000000,688,213640
350,102,0.173013,1.000000,816,214456
351,118,0.172148,1.000000,944,215400
352,111,0.171287,1.000000,888,216288
353,132,0.170431,1.000000,1056,217344
354,84,0.169578,1.000000,672,218016
355,80,0.168731,1.000000,640,218656
356,142,0.167887,1.000000,1136,219792
357,86,0.167047,1.000000,688,220480
358,88,0.166212,1.000000,704,221184
359,84,0.165381,1.000000,672,221856
360,90,0.164554,1.000000,720,222576
361,140,0.163731,1.000000,1120,223696
362,85,0.162913,1.000000,680,224376
363,84,0.162098,1.000000,672,225048
364,78,0.161288,1.000000,624,225672
365,82,0.160481,1.000000,656,226328
366,118,0.159679,1.000000,944,227272
367,86,0.158881,1.000000,688,227960
368,84,0.158086,1.000000,672,228632
369,126,0.157296,1.000000,1008,229640
370,121,0.156509,1.000000,968,230608
371,126,0.155727,1.000000,1008,231616
372,121,0.154948,1.000000,968,232584
373,89,0.154173,1.000000,712,233296
374,144,0.153402,1.000000,1152,234448
375,90,0.152635,1.000000,720,235168
376,99,0.151872,1.000000,792,235960
377,87,0.151113,1.000000,696,236656
378,150,0.150357,1.000000,1200,237856
379,88,0.149606,1.000000,704,238560
380,112,0.148857,1.000000,896,239456
381,92,0.148113,1.000000,736,240192
382,79,0.147373,1.000000,632,240824
383,92,0.146636,1.000000,736,241560
384,156,0.145903,1.000000,1248,242808
385,157,0.145173,1.000000,1256,244064
386,89,0.144447,1.000000,712,244776
387,90,0.143725,1.000000,720,245496
388,85,0.143006,1.000000,680,246176
389,90,0.142291,1.000000,720,246896
390,87,0.141580,1.000000,696,247592
391,100,0.140872,1.000000,800,248392
392,87,0.140168,1.000000,696,249088
393,97,0.139467,1.000000,776,249864
394,88,0.138769,1.000000,704,250568
395,114,0.138076,1.000000,912,251480
396,101,0.137385,1.000000,808,252288
397,92,0.136698,1.000000,736,253024
398,90,0.136015,1.000000,720,253744
399,107,0.135335,1.000000,856,254600
400,90,0.134658,1.000000,720,255320
401,103,0.133985,1.000000,824,256144
402,87,0.133315,1.000000,696,256840
403,102,0.132648,1.000000,816,257656
404,154,0.131985,1.000000,1232,258888
405,90,0.131325,1.000000,720,259608
406,135,0.130668,1.000000,1080,260688
407,92,0.130015,1.000000,736,261424
408,111,0.129365,1.000000,888,262312
409,85,0.128718,1.000000,680,262992
410,130,0.128075,1.000000,1040,264032
411,92,0.127434,1.000000,736,264768
412,82,0.126797,1.000000,656,265424
413,86,0.126163,1.000000,688,266112
414,84,0.125532,1.000000,672,266784
415,153,0.124905,1.000000,1224,268008
416,84,0.124280,1.000000,672,268680
417,86,0.123659,1.000000,688,269368
418,86,0.123040,1.000000,688,270056
419,84,0.122425,1.000000,672,270728
420,124,0.121813,1.000000,992,271720
421,92,0.121204,1.000000,736,272456
422,88,0.120598,1.000000,704,273160
423,88,0.119995,1.000000,704,273864
424,90,0.119395,1.000000,720,274584
425,111,0.118798,1.000000,888,275472
426,123,0.118204,1.000000,984,276456
427,153,0.117613,1.000000,1224,277680
428,131,0.117025,1.000000,1048,278728
429,88,0.116440,1.000000,704,279432
430,135,0.115858,1.000000,1080,280512
431,123,0.115278,1.000000,984,281496
432,131,0.114702,1.000000,1048,282544
433,117,0.114128,1.000000,936,283480
434,117,0.113558,1.000000,936,284416
435,88,0.112990,1.000000,704,285120
436,124,0.112425,1.000000,992,286112
437,154,0.111863,1.000000,1232,287344
438,92,0.111304,1.000000,736,288080
439,96,0.110747,1.000000,768,288848
440,121,0.110193,1.000000,968,289816
441,151,0.109642,1.000000,1208,291024
442,88,0.109094,1.000000,704,291728
443,93,0.108549,1.000000,744,292472
444,90,0.108006,1.000000,720,293192
445,156,0.107466,1.000000,1248,294440
446,88,0.106929,1.000000,704,295144
447,89,0.106394,1.000000,712,295856
