episode,batch_episode_steps,epsilon,intrinsic_weight
360,89,0.164554,1.000000
361,88,0.163731,1.000000
362,150,0.162913,1.000000
363,88,0.162098,1.000000
364,105,0.161288,1.000000
365,82,0.160481,1.000000
366,90,0.159679,1.000000
367,86,0.158881,1.000000
368,84,0.158086,1.000000
369,82,0.157296,1.000000
370,92,0.156509,1.000000
371,96,0.155727,1.000000
372,90,0.154948,1.000000
373,88,0.154173,1.000000
374,86,0.153402,1.000000
375,85,0.152635,1.000000
376,87,0.151872,1.000000
377,83,0.151113,1.000000
378,84,0.150357,1.000000
379,78,0.149606,1.000000
380,82,0.148857,1.000000
381,86,0.148113,1.000000
382,88,0.147373,1.000000
383,86,0.146636,1.000000
384,87,0.145903,1.000000
385,84,0.145173,1.000000
386,118,0.144447,1.000000
387,82,0.143725,1.000000
388,84,0.143006,1.000000
389,86,0.142291,1.000000
390,86,0.141580,1.000000
391,87,0.140872,1.000000
392,90,0.140168,1.000000
393,80,0.139467,1.000000
394,84,0.138769,1.000000
395,92,0.138076,1.000000
396,86,0.137385,1.000000
397,130,0.136698,1.000000
398,89,0.136015,1.000000
399,78,0.135335,1.000000
400,84,0.134658,1.000000
401,88,0.133985,1.000000
402,82,0.133315,1.000000
403,90,0.132648,1.000000
404,88,0.131985,1.000000
405,102,0.131325,1.000000
406,89,0.130668,1.000000
407,86,0.130015,1.000000
408,85,0.129365,1.000000
409,85,0.128718,1.000000
410,79,0.128075,1.000000
411,86,0.127434,1.000000
412,82,0.126797,1.000000
413,86,0.126163,1.000000
414,100,0.125532,1.000000
415,94,0.124905,1.000000
416,91,0.124280,1.000000
417,86,0.123659,1.000000
418,90,0.123040,1.000000
419,82,0.122425,1.000000
420,88,0.121813,1.000000
421,92,0.121204,1.000000
422,86,0.120598,1.000000
423,84,0.119995,1.000000
424,82,0.119395,1.000000
425,91,0.118798,1.000000
426,85,0.118204,1.000000
427,90,0.117613,1.000000
428,88,0.117025,1.000000
429,90,0.116440,1.000000
430,86,0.115858,1.000000
431,94,0.115278,1.000000
432,86,0.114702,1.000000
433,88,0.114128,1.000000
434,90,0.113558,1.000000
435,86,0.112990,1.000000
436,96,0.112425,1.000000
437,93,0.111863,1.000000
438,91,0.111304,1.000000
439,87,0.110747,1.000000
440,90,0.110193,1.000000
441,92,0.109642,1.000000
442,84,0.109094,1.000000
443,87,0.108549,1.000000
444,85,0.108006,1.000000
445,89,0.107466,1.000000
446,90,0.106929,1.000000
447,96,0.106394,1.000000
448,92,0.105862,1.000000
449,86,0.105333,1.000000
450,94,0.104806,1.000000
451,94,0.104282,1.000000
452,94,0.103761,1.000000
453,90,0.103242,1.000000
454,88,0.102726,1.000000
455,92,0.102212,1.000000
456,85,0.101701,1.000000
457,92,0.101192,1.000000
458,88,0.100686,1.000000
459,89,0.100183,1.000000
460,90,0.099682,1.000000
461,92,0.099184,1.000000
462,93,0.098688,1.000000
463,92,0.098194,1.000000
464,81,0.097703,1.000000
465,90,0.097215,1.000000
466,92,0.096729,1.000000
467,96,0.096245,1.000000
468,89,0.095764,1.000000
469,89,0.095285,1.000000
470,94,0.094809,1.000000
471,94,0.094335,1.000000
472,91,0.093863,1.000000
473,88,0.093394,1.000000
474,96,0.092927,1.000000
475,96,0.092462,1.000000
476,88,0.092000,1.000000
477,94,0.091540,1.000000
478,97,0.091082,1.000000
479,97,0.090627,1.000000
480,94,0.090173,1.000000
481,96,0.089723,1.000000
482,92,0.089274,1.000000
483,90,0.088828,1.000000
484,98,0.088383,1.000000
485,92,0.087942,1.000000
486,92,0.087502,1.000000
487,129,0.087064,1.000000
488,96,0.086629,1.000000
489,92,0.086196,1.000000
490,92,0.085765,1.000000
491,94,0.085336,1.000000
492,96,0.084909,1.000000
493,96,0.084485,1.000000
494,96,0.084062,1.000000
495,94,0.083642,1.000000
496,94,0.083224,1.000000
497,140,0.082808,1.000000
498,97,0.082394,1.000000
499,98,0.081982,1.000000
500,126,0.081572,1.000000
501,96,0.081164,1.000000
502,90,0.080758,1.000000
503,88,0.080354,1.000000
504,94,0.079953,1.000000
505,99,0.079553,1.000000
506,96,0.079155,1.000000
507,96,0.078759,1.000000
508,96,0.078366,1.000000
509,92,0.077974,1.000000
510,94,0.077584,1.000000
511,96,0.077196,1.000000
512,92,0.076810,1.000000
513,90,0.076426,1.000000
514,99,0.076044,1.000000
515,90,0.075664,1.000000
516,94,0.075285,1.000000
517,92,0.074909,1.000000
518,96,0.074534,1.000000
519,96,0.074162,1.000000
520,92,0.073791,1.000000
521,94,0.073422,1.000000
522,97,0.073055,1.000000
523,98,0.072689,1.000000
524,97,0.072326,1.000000
525,97,0.071964,1.000000
526,92,0.071605,1.000000
527,92,0.071247,1.000000
528,92,0.070890,1.000000
529,96,0.070536,1.000000
530,95,0.070183,1.000000
531,94,0.069832,1.000000
532,135,0.069483,1.000000
533,94,0.069136,1.000000
534,96,0.068790,1.000000
535,94,0.068446,1.000000
536,96,0.068104,1.000000
537,96,0.067763,1.000000
538,96,0.067424,1.000000
539,94,0.067087,1.000000
540,98,0.066752,1.000000
541,88,0.066418,1.000000
542,94,0.066086,1.000000
543,96,0.065756,1.000000
544,94,0.065427,1.000000
545,94,0.065100,1.000000
546,92,0.064774,1.000000
547,94,0.064450,1.000000
548,96,0.064128,1.000000
549,121,0.063807,1.000000
550,97,0.063488,1.000000
551,96,0.063171,1.000000
552,94,0.062855,1.000000
553,92,0.062541,1.000000
554,94,0.062228,1.000000
555,96,0.061917,1.000000
556,96,0.061607,1.000000
557,94,0.061299,1.000000
558,94,0.060993,1.000000
559,94,0.060688,1.000000
560,97,0.060384,1.000000
561,94,0.060083,1.000000
